epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,458.422,0.60871,1.11617,0.32915,0.41702,0.90103,0.94573,0.91613,0.97322,0.80561,0.94573,0.91613,0.97322,0.7429,0.73453,0.99629,0.10441,0.45528,0.91177,0.0050694,0.0016898,0.0050694,0.0016898,0.0050694,0.0016898,0.0050694,0.0016898
49,467.092,0.59507,1.10669,0.33315,0.40731,0.90921,0.94753,0.96129,0.97213,0.80986,0.94753,0.96129,0.97213,0.74876,0.72192,0.95479,0.10363,0.45002,0.90041,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
50,476.791,0.58078,1.05669,0.32644,0.3946,0.89622,0.93621,0.94686,0.97253,0.81572,0.92983,0.94041,0.96079,0.73727,0.71357,0.99547,0.09922,0.45433,0.90491,0.0050298,0.0016766,0.0050298,0.0016766,0.0050298,0.0016766,0.0050298,0.0016766
51,484.646,0.59972,1.09592,0.30724,0.40189,0.89568,0.92004,0.94194,0.97618,0.7943,0.91374,0.93548,0.96372,0.72253,0.7461,0.99955,0.09359,0.47503,0.90785,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167
52,492.91,0.62793,1.12145,0.32832,0.41729,0.90844,0.94359,0.92903,0.97396,0.80529,0.93704,0.92258,0.95965,0.74769,0.73503,0.98472,0.09319,0.4827,0.89918,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
53,501.629,0.59798,1.00383,0.32112,0.40223,0.90192,0.95931,0.91265,0.97102,0.8052,0.95931,0.91265,0.97102,0.74286,0.7305,0.95605,0.08517,0.45643,0.90766,0.0049704,0.0016568,0.0049704,0.0016568,0.0049704,0.0016568,0.0049704,0.0016568
54,510.139,0.57564,1.06962,0.30438,0.38596,0.89649,0.92245,0.90968,0.97305,0.80995,0.92245,0.90968,0.97305,0.75151,0.72192,0.94879,0.08735,0.48994,0.90172,0.0049506,0.0016502,0.0049506,0.0016502,0.0049506,0.0016502,0.0049506,0.0016502
55,517.65,0.57404,1.01932,0.30816,0.39607,0.89528,0.93407,0.9141,0.97395,0.80975,0.92753,0.90828,0.96317,0.73566,0.71922,0.96448,0.08823,0.47456,0.90314,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
56,525.457,0.57254,1.03424,0.30076,0.38826,0.89018,0.94068,0.92085,0.97631,0.80281,0.92751,0.90808,0.95769,0.7444,0.73714,0.98766,0.08131,0.47352,0.91164,0.004911,0.001637,0.004911,0.001637,0.004911,0.001637,0.004911,0.001637
57,533.503,0.58901,1.04322,0.29771,0.39415,0.89532,0.89428,0.94194,0.973,0.79772,0.8879,0.93548,0.96217,0.74643,0.74758,0.98401,0.0796,0.50352,0.927,0.0048912,0.0016304,0.0048912,0.0016304,0.0048912,0.0016304,0.0048912,0.0016304
58,542.879,0.56819,1.05791,0.30061,0.38285,0.89035,0.9486,0.91613,0.97472,0.81033,0.9486,0.91613,0.97472,0.76488,0.70897,0.93046,0.08267,0.4525,0.90336,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
